溯源批次码,作物名称,生产省份,生产县区,基地经度,基地纬度,种植日期,全流程农事操作记录,采摘完成时刻,采摘重量(kg),加工中心,加工厂经纬度,加工具体工序,加工开始时刻,加工结束时刻,存储仓库ID,仓库类型,入库时刻,出库时刻,仓储温湿度环境,物流运单号,运输车辆类型,物流作业要求,发货起运时刻,终端签收时刻,销售城市,销售区县网点,网点经度,网点纬度,终端上架时刻
CN-AG-202406-10000,小麦,四川省,安岳县,105.384086,30.084945,2023-11-09,2023-11-09 [深耕整地] -> 2023-12-17 [秋播种子处理] -> 2024-01-24 [越冬水灌溉] -> 2024-03-02 [拔节期追肥] -> 2024-04-09 [条锈病防治] -> 2024-05-17 [干热风防护],2024-06-24 12:15,22687.44,安岳县第1深加工基地,"105.331973,30.10464",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-26 14:15,2024-06-26 22:31,WH-CN-674,钢板筒仓,2024-06-27 10:31,2024-07-12 10:31,准低温低氧控制,LOG-CN-68175080694,全封闭货车,"干燥, 禁止异味混载",2024-07-12 16:31,2024-07-14 03:44,南京市,玄武区,118.79,32.06,2024-07-15 03:44
CN-AG-202409-10001,大豆,内蒙古自治区,突泉县,121.528719,46.288722,2024-05-27,2024-05-27 [拌种包衣] -> 2024-06-21 [等距点播] -> 2024-07-16 [结荚期根外追肥] -> 2024-08-10 [食心虫绿色防控] -> 2024-09-04 [除草中耕],2024-09-26 08:48,34662.3,突泉县第5深加工基地,"121.577324,46.321162",磁选->破碎压胚->高温压榨->物理过滤->精炼,2024-09-30 12:48,2024-09-30 17:40,WH-CN-370,不锈钢储油罐区,2024-09-30 23:40,2024-10-23 23:40,准低温低氧控制,LOG-CN-17761556863,罐式车,"避光, 控温25℃下",2024-10-24 06:40,2024-10-27 06:46,武汉市,洪山区,114.34,30.5,2024-10-29 06:46
CN-AG-202411-10002,棉花,江苏省,射阳县,120.274969,33.762134,2024-05-02,2024-05-02 [覆膜播种] -> 2024-06-07 [人工打顶] -> 2024-07-13 [叶面喷施补硼] -> 2024-08-18 [枯萎病监测] -> 2024-09-23 [喷施脱叶剂],2024-11-03 16:18,18304.42,射阳县第4深加工基地,"120.259398,33.740412",皮棉清理->锯齿轧花->纤维分级->压力打包,2024-11-06 22:18,2024-11-07 02:26,WH-CN-750,专业纤维库,2024-11-07 07:26,2024-11-19 07:26,避光控温控制,LOG-CN-60827117278,高栏平板车,"严禁烟火, 防静电, 干燥",2024-11-19 14:26,2024-11-21 20:21,深圳市,南山区,113.93,22.54,2024-11-22 20:21
CN-AG-202406-10003,小麦,新疆维吾尔自治区,玛纳斯县,86.175481,44.339893,2023-10-16,2023-10-16 [深耕整地] -> 2023-11-23 [秋播种子处理] -> 2023-12-31 [越冬水灌溉] -> 2024-02-07 [拔节期追肥] -> 2024-03-16 [条锈病防治] -> 2024-04-23 [干热风防护],2024-06-07 12:44,29085.67,玛纳斯县第2深加工基地,"86.203668,44.293636",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-08 18:44,2024-06-09 02:39,WH-CN-801,钢板筒仓,2024-06-09 08:39,2024-07-23 08:39,准低温低氧控制,LOG-CN-40305022733,全封闭货车,"干燥, 禁止异味混载",2024-07-23 21:39,2024-07-26 21:56,深圳市,福田区,114.05,22.54,2024-07-29 21:56
CN-AG-202406-10004,小麦,黑龙江省,嫩江市,125.222971,49.146509,2023-10-19,2023-10-19 [深耕整地] -> 2023-11-26 [秋播种子处理] -> 2024-01-03 [越冬水灌溉] -> 2024-02-10 [拔节期追肥] -> 2024-03-19 [条锈病防治] -> 2024-04-26 [干热风防护],2024-06-09 09:13,24647.88,嫩江市第3深加工基地,"125.215825,49.168639",磁选除杂->着水润麦->多级研磨->高方筛理->包装,2024-06-12 12:13,2024-06-12 20:18,WH-CN-864,钢板筒仓,2024-06-13 07:18,2024-07-18 07:18,准低温低氧控制,LOG-CN-68345352569,全封闭货车,"干燥, 禁止异味混载",2024-07-18 17:18,2024-07-20 10:33,西安市,雁塔区,108.94,34.21,2024-07-23 10:33
CN-AG-202410-10005,水稻,湖南省,南县,112.356739,29.373422,2024-05-19,2024-05-19 [播种育秧] -> 2024-06-11 [田间底肥] -> 2024-07-04 [插秧作业] -> 2024-07-27 [分蘖期灌溉] -> 2024-08-19 [除草控虫] -> 2024-09-11 [晒田补肥],2024-10-08 10:32,18356.68,南县第4深加工基地,"112.397327,29.355843",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-09 12:32,2024-10-09 22:22,WH-CN-641,平房仓(准低温),2024-10-10 03:22,2024-10-29 03:22,准低温低氧控制,LOG-CN-14047709743,散粮车,"防潮, 湿度<14%",2024-10-29 15:22,2024-11-02 19:26,广州市,番禺区,113.38,22.93,2024-11-04 19:26
CN-AG-202410-10006,水稻,广西壮族自治区,桂平市,110.114221,23.384728,2024-06-08,2024-06-08 [播种育秧] -> 2024-07-01 [田间底肥] -> 2024-07-24 [插秧作业] -> 2024-08-16 [分蘖期灌溉] -> 2024-09-08 [除草控虫] -> 2024-10-01 [晒田补肥],2024-10-25 13:07,22768.2,桂平市第2深加工基地,"110.080285,23.383993",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-29 16:07,2024-10-29 22:29,WH-CN-256,平房仓(准低温),2024-10-30 02:29,2024-11-25 02:29,准低温低氧控制,LOG-CN-83708291861,散粮车,"防潮, 湿度<14%",2024-11-25 09:29,2024-11-29 17:48,广州市,番禺区,113.38,22.93,2024-12-02 17:48
CN-AG-202410-10007,水稻,湖北省,监利市,112.845574,29.84109,2024-05-29,2024-05-29 [播种育秧] -> 2024-06-21 [田间底肥] -> 2024-07-14 [插秧作业] -> 2024-08-06 [分蘖期灌溉] -> 2024-08-29 [除草控虫] -> 2024-09-21 [晒田补肥],2024-10-16 08:07,31804.21,监利市第2深加工基地,"112.89341,29.832151",清理去石->砻谷脱壳->糙米碾白->抛光->色选->包装,2024-10-19 11:07,2024-10-19 14:06,WH-CN-775,平房仓(准低温),2024-10-19 21:06,2024-12-04 21:06,准低温低氧控制,LOG-CN-33836224944,散粮车,"防潮, 湿度<14%",2024-12-05 10:06,2024-12-10 18:10,上海市,浦东新区,121.54,31.22,2024-12-13 18:10
CN-AG-202406-10008,大麦,甘肃省,民乐县,100.863866,38.377806,2024-03-11,2024-03-11 [翻耕播种] -> 2024-04-05 [分蘖期施氮] -> 2024-04-30 [化学除草] -> 2024-05-25 [灌浆期监控],2024-06-18 11:45,25590.81,民乐县第2深加工基地,"100.816168,38.439313",杂质清理->脱壳处理->分级磨皮->包装,2024-06-22 15:45,2024-06-22 21:59,WH-CN-702,平房仓,2024-06-23 09:59,2024-07-31 09:59,避光控温控制,LOG-CN-10945826486,散装车,防霉通风,2024-07-31 18:59,2024-08-02 03:20,上海市,浦东新区,121.54,31.22,2024-08-03 03:20
CN-AG-202409-10009,玉米,吉林省,公主岭市,124.771721,43.496554,2024-05-16,2024-05-16 [免耕直播] -> 2024-06-07 [苗期中耕] -> 2024-06-29 [喇叭口期追肥] -> 2024-07-21 [大斑病防治] -> 2024-08-12 [人工授粉辅助],2024-09-03 08:55,25167.41,公主岭市第2深加工基地,"124.818803,43.523685",物理清理->脱粒烘干->破碎加工->筛理分级,2024-09-04 14:55,2024-09-04 19:26,WH-CN-903,现代化圆筒仓,2024-09-05 03:26,2024-10-16 03:26,避光控温控制,LOG-CN-37518113010,重型散粮卡车,"通风良好, 严控高温",2024-10-16 11:26,2024-10-21 08:25,深圳市,宝安区,113.88,22.55,2024-10-24 08:25
